,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y_temp
0,58.0,management,married,tertiary,no,2143.0,yes,no,unknown,5.0,may,261.0,1.0,-1.0,0.0,unknown,no
1,44.0,technician,single,secondary,no,29.0,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,no
2,33.0,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5.0,may,76.0,1.0,-1.0,0.0,unknown,no
3,47.0,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5.0,may,92.0,1.0,-1.0,0.0,unknown,no
4,33.0,unknown,single,unknown,no,1.0,no,no,unknown,5.0,may,198.0,1.0,-1.0,0.0,unknown,no
5,35.0,management,married,tertiary,no,231.0,yes,no,unknown,5.0,may,139.0,1.0,-1.0,0.0,unknown,no
6,28.0,management,single,tertiary,no,447.0,yes,yes,unknown,5.0,may,217.0,1.0,-1.0,0.0,unknown,no
7,42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,1.0,-1.0,0.0,unknown,no
8,58.0,retired,married,primary,no,121.0,yes,no,unknown,5.0,may,50.0,1.0,-1.0,0.0,unknown,no
9,43.0,technician,single,secondary,no,593.0,yes,no,unknown,5.0,may,55.0,1.0,-1.0,0.0,unknown,no
10,41.0,admin.,divorced,secondary,no,270.0,yes,no,unknown,5.0,may,222.0,1.0,-1.0,0.0,unknown,no
11,29.0,admin.,single,secondary,no,390.0,yes,no,unknown,5.0,may,137.0,1.0,-1.0,0.0,unknown,no
12,53.0,technician,married,secondary,no,6.0,yes,no,unknown,5.0,may,517.0,1.0,-1.0,0.0,unknown,no
13,58.0,technician,married,unknown,no,71.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown,no
14,57.0,services,married,secondary,no,162.0,yes,no,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown,no
15,51.0,retired,married,primary,no,229.0,yes,no,unknown,5.0,may,353.0,1.0,-1.0,0.0,unknown,no
16,45.0,admin.,single,unknown,no,13.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
17,57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5.0,may,38.0,1.0,-1.0,0.0,unknown,no
18,60.0,retired,married,primary,no,60.0,yes,no,unknown,5.0,may,219.0,1.0,-1.0,0.0,unknown,no
19,33.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,54.0,1.0,-1.0,0.0,unknown,no
20,28.0,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5.0,may,262.0,1.0,-1.0,0.0,unknown,no
21,56.0,management,married,tertiary,no,779.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,0.0,unknown,no
22,32.0,blue-collar,single,primary,no,23.0,yes,yes,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,no
23,25.0,services,married,secondary,no,50.0,yes,no,unknown,5.0,may,342.0,1.0,-1.0,0.0,unknown,no
24,40.0,retired,married,primary,no,0.0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,no
25,44.0,admin.,married,secondary,no,-372.0,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,no
26,39.0,management,single,tertiary,no,255.0,yes,no,unknown,5.0,may,296.0,1.0,-1.0,0.0,unknown,no
27,52.0,entrepreneur,married,secondary,no,113.0,yes,yes,unknown,5.0,may,127.0,1.0,-1.0,0.0,unknown,no
28,46.0,management,single,secondary,no,-246.0,yes,no,unknown,5.0,may,255.0,2.0,-1.0,0.0,unknown,no
29,36.0,technician,single,secondary,no,265.0,yes,yes,unknown,5.0,may,348.0,1.0,-1.0,0.0,unknown,no
30,57.0,technician,married,secondary,no,839.0,no,yes,unknown,5.0,may,225.0,1.0,-1.0,0.0,unknown,no
