,recency,frequency,monetary,time,y_temp
0,2.0,50.0,12500.0,98.0,yes
1,0.0,13.0,3250.0,28.0,yes
2,1.0,16.0,4000.0,35.0,yes
3,2.0,20.0,5000.0,45.0,yes
4,1.0,24.0,6000.0,77.0,no
5,4.0,4.0,1000.0,4.0,no
6,2.0,7.0,1750.0,14.0,yes
7,1.0,12.0,3000.0,35.0,no
8,2.0,9.0,2250.0,22.0,yes
9,5.0,46.0,11500.0,98.0,yes
10,4.0,23.0,5750.0,58.0,no
11,0.0,3.0,750.0,4.0,no
12,2.0,10.0,2500.0,28.0,yes
13,1.0,13.0,3250.0,47.0,no
14,2.0,6.0,1500.0,15.0,yes
15,2.0,5.0,1250.0,11.0,yes
16,2.0,14.0,3500.0,48.0,yes
17,2.0,15.0,3750.0,49.0,yes
18,2.0,6.0,1500.0,15.0,yes
19,2.0,3.0,750.0,4.0,yes
20,2.0,3.0,750.0,4.0,yes
21,4.0,11.0,2750.0,28.0,no
22,2.0,6.0,1500.0,16.0,yes
23,2.0,6.0,1500.0,16.0,yes
24,9.0,9.0,2250.0,16.0,no
25,4.0,14.0,3500.0,40.0,no
26,4.0,6.0,1500.0,14.0,no
27,4.0,12.0,3000.0,34.0,yes
28,4.0,5.0,1250.0,11.0,yes
29,4.0,8.0,2000.0,21.0,no
30,1.0,14.0,3500.0,58.0,no
31,4.0,10.0,2500.0,28.0,yes
32,4.0,10.0,2500.0,28.0,yes
33,4.0,9.0,2250.0,26.0,yes
34,2.0,16.0,4000.0,64.0,no
35,2.0,8.0,2000.0,28.0,yes
36,2.0,12.0,3000.0,47.0,yes
37,4.0,6.0,1500.0,16.0,yes
38,2.0,14.0,3500.0,57.0,yes
39,4.0,7.0,1750.0,22.0,yes
40,2.0,13.0,3250.0,53.0,yes
41,2.0,5.0,1250.0,16.0,no
42,2.0,5.0,1250.0,16.0,yes
43,2.0,5.0,1250.0,16.0,no
44,4.0,20.0,5000.0,69.0,yes
45,4.0,9.0,2250.0,28.0,yes
46,2.0,9.0,2250.0,36.0,no
47,2.0,2.0,500.0,2.0,no
48,2.0,2.0,500.0,2.0,no
49,2.0,2.0,500.0,2.0,no
50,2.0,11.0,2750.0,46.0,no
51,2.0,11.0,2750.0,46.0,yes
52,2.0,6.0,1500.0,22.0,no
53,2.0,12.0,3000.0,52.0,no
54,4.0,5.0,1250.0,14.0,yes
55,4.0,19.0,4750.0,69.0,yes
56,4.0,8.0,2000.0,26.0,yes
57,2.0,7.0,1750.0,28.0,yes
58,2.0,16.0,4000.0,81.0,no
59,3.0,6.0,1500.0,21.0,no
60,2.0,7.0,1750.0,29.0,no
61,2.0,8.0,2000.0,35.0,yes
62,2.0,10.0,2500.0,49.0,no
63,4.0,5.0,1250.0,16.0,yes
64,2.0,3.0,750.0,9.0,yes
65,3.0,16.0,4000.0,74.0,no
66,2.0,4.0,1000.0,14.0,yes
67,0.0,2.0,500.0,4.0,no
68,4.0,7.0,1750.0,25.0,no
69,1.0,9.0,2250.0,51.0,no
70,2.0,4.0,1000.0,16.0,no
71,2.0,4.0,1000.0,16.0,no
72,4.0,17.0,4250.0,71.0,yes
73,2.0,2.0,500.0,4.0,no
74,2.0,2.0,500.0,4.0,yes
75,2.0,2.0,500.0,4.0,yes
76,2.0,4.0,1000.0,16.0,yes
77,2.0,2.0,500.0,4.0,no
78,2.0,2.0,500.0,4.0,no
79,2.0,2.0,500.0,4.0,no
80,4.0,6.0,1500.0,23.0,yes
81,2.0,4.0,1000.0,16.0,no
82,2.0,4.0,1000.0,16.0,no
83,2.0,4.0,1000.0,16.0,no
84,2.0,6.0,1500.0,28.0,yes
85,2.0,6.0,1500.0,28.0,no
86,4.0,2.0,500.0,4.0,no
87,4.0,2.0,500.0,4.0,no
88,4.0,2.0,500.0,4.0,no
89,2.0,7.0,1750.0,35.0,yes
90,4.0,2.0,500.0,4.0,yes
91,4.0,2.0,500.0,4.0,no
92,4.0,2.0,500.0,4.0,no
93,4.0,2.0,500.0,4.0,no
94,12.0,11.0,2750.0,23.0,no
95,4.0,7.0,1750.0,28.0,no
96,3.0,17.0,4250.0,86.0,no
