,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,y_temp
0,8.3252,41.0,880.0,129.0,322.0,126.0,37.88,-122.23,yes
1,8.3014,21.0,7099.0,1106.0,2401.0,1138.0,37.86,-122.22,yes
2,7.2574,52.0,1467.0,190.0,496.0,177.0,37.85,-122.24,yes
3,5.6431,52.0,1274.0,235.0,558.0,219.0,37.85,-122.25,yes
4,3.8462,52.0,1627.0,280.0,565.0,259.0,37.85,-122.25,yes
5,4.0368,52.0,919.0,213.0,413.0,193.0,37.85,-122.25,yes
6,3.6591,52.0,2535.0,489.0,1094.0,514.0,37.84,-122.25,yes
7,3.12,52.0,3104.0,687.0,1157.0,647.0,37.84,-122.25,yes
8,2.0804,42.0,2555.0,665.0,1206.0,595.0,37.84,-122.26,yes
9,3.6912,52.0,3549.0,707.0,1551.0,714.0,37.84,-122.25,yes
10,3.2031,52.0,2202.0,434.0,910.0,402.0,37.85,-122.26,yes
11,3.2705,52.0,3503.0,752.0,1504.0,734.0,37.85,-122.26,yes
12,3.075,52.0,2491.0,474.0,1098.0,468.0,37.85,-122.26,yes
13,2.6736,52.0,696.0,191.0,345.0,174.0,37.84,-122.26,yes
14,1.9167,52.0,2643.0,626.0,1212.0,620.0,37.85,-122.26,no
15,2.125,50.0,1120.0,283.0,697.0,264.0,37.85,-122.26,no
16,2.775,52.0,1966.0,347.0,793.0,331.0,37.85,-122.27,no
17,2.1202,52.0,1228.0,293.0,648.0,303.0,37.85,-122.27,no
18,1.9911,50.0,2239.0,455.0,990.0,419.0,37.84,-122.26,no
19,2.6033,52.0,1503.0,298.0,690.0,275.0,37.84,-122.27,no
20,1.3578,40.0,751.0,184.0,409.0,166.0,37.85,-122.27,no
21,1.7135,42.0,1639.0,367.0,929.0,366.0,37.85,-122.27,no
22,1.725,52.0,2436.0,541.0,1015.0,478.0,37.84,-122.27,no
23,2.1806,52.0,1688.0,337.0,853.0,325.0,37.84,-122.27,no
24,2.6,52.0,2224.0,437.0,1006.0,422.0,37.84,-122.27,no
25,2.4038,41.0,535.0,123.0,317.0,119.0,37.85,-122.28,no
26,2.4597,49.0,1130.0,244.0,607.0,239.0,37.85,-122.28,no
27,1.808,52.0,1898.0,421.0,1102.0,397.0,37.85,-122.28,no
28,1.6424,50.0,2082.0,492.0,1131.0,473.0,37.84,-122.28,no
29,1.6875,52.0,729.0,160.0,395.0,155.0,37.84,-122.28,no
30,1.9274,49.0,1916.0,447.0,863.0,378.0,37.84,-122.28,no
31,1.9615,52.0,2153.0,481.0,1168.0,441.0,37.84,-122.28,no
32,1.7969,48.0,1922.0,409.0,1026.0,335.0,37.84,-122.27,no
33,1.375,49.0,1655.0,366.0,754.0,329.0,37.83,-122.27,no
34,2.7303,51.0,2665.0,574.0,1258.0,536.0,37.83,-122.27,no
35,1.4861,49.0,1215.0,282.0,570.0,264.0,37.83,-122.27,no
36,1.0972,48.0,1798.0,432.0,987.0,374.0,37.83,-122.27,no
37,1.4103,52.0,1511.0,390.0,901.0,403.0,37.83,-122.28,no
38,3.48,52.0,1470.0,330.0,689.0,309.0,37.83,-122.26,yes
39,2.5898,52.0,2432.0,715.0,1377.0,696.0,37.83,-122.26,no
40,2.0978,52.0,1665.0,419.0,946.0,395.0,37.83,-122.26,no
41,1.2852,51.0,936.0,311.0,517.0,249.0,37.83,-122.26,no
42,1.025,49.0,713.0,202.0,462.0,189.0,37.84,-122.26,no
43,3.9643,52.0,950.0,202.0,467.0,198.0,37.84,-122.26,yes
44,3.0125,52.0,1443.0,311.0,660.0,292.0,37.83,-122.26,yes
45,2.6768,52.0,1656.0,420.0,718.0,382.0,37.83,-122.26,yes
46,2.026,50.0,1125.0,322.0,616.0,304.0,37.83,-122.26,no
47,1.7348,43.0,1007.0,312.0,558.0,253.0,37.82,-122.27,no
48,0.9506,40.0,624.0,195.0,423.0,160.0,37.82,-122.26,yes
49,1.775,40.0,946.0,375.0,700.0,352.0,37.82,-122.27,no
