,buying,maint,doors,persons,lug_boot,safety_dict,y_temp
0,vhigh,vhigh,2,2,small,low,Unacceptable
1,vhigh,vhigh,2,2,small,med,Unacceptable
2,vhigh,vhigh,2,2,small,high,Unacceptable
3,vhigh,vhigh,2,2,med,low,Unacceptable
4,vhigh,vhigh,2,2,med,med,Unacceptable
5,vhigh,vhigh,2,2,med,high,Unacceptable
6,vhigh,vhigh,2,2,big,low,Unacceptable
7,vhigh,vhigh,2,2,big,med,Unacceptable
8,vhigh,vhigh,2,2,big,high,Unacceptable
9,vhigh,vhigh,2,4,small,low,Unacceptable
10,vhigh,vhigh,2,4,small,med,Unacceptable
11,vhigh,vhigh,2,4,small,high,Unacceptable
12,vhigh,vhigh,2,4,med,low,Unacceptable
13,vhigh,vhigh,2,4,med,med,Unacceptable
14,vhigh,vhigh,2,4,med,high,Unacceptable
15,vhigh,vhigh,2,4,big,low,Unacceptable
16,vhigh,vhigh,2,4,big,med,Unacceptable
17,vhigh,vhigh,2,4,big,high,Unacceptable
18,vhigh,vhigh,2,more,small,low,Unacceptable
19,vhigh,vhigh,2,more,small,med,Unacceptable
20,vhigh,vhigh,2,more,small,high,Unacceptable
21,vhigh,vhigh,2,more,med,low,Unacceptable
22,vhigh,vhigh,2,more,med,med,Unacceptable
23,vhigh,vhigh,2,more,med,high,Unacceptable
24,vhigh,vhigh,2,more,big,low,Unacceptable
25,vhigh,vhigh,2,more,big,med,Unacceptable
26,vhigh,vhigh,2,more,big,high,Unacceptable
27,vhigh,vhigh,3,2,small,low,Unacceptable
28,vhigh,vhigh,3,2,small,med,Unacceptable
29,vhigh,vhigh,3,2,small,high,Unacceptable
30,vhigh,vhigh,3,2,med,low,Unacceptable
31,vhigh,vhigh,3,2,med,med,Unacceptable
32,vhigh,vhigh,3,2,med,high,Unacceptable
33,vhigh,vhigh,3,2,big,low,Unacceptable
34,vhigh,vhigh,3,2,big,med,Unacceptable
35,vhigh,vhigh,3,2,big,high,Unacceptable
36,vhigh,vhigh,3,4,small,low,Unacceptable
37,vhigh,vhigh,3,4,small,med,Unacceptable
38,vhigh,vhigh,3,4,small,high,Unacceptable
39,vhigh,vhigh,3,4,med,low,Unacceptable
40,vhigh,vhigh,3,4,med,med,Unacceptable
41,vhigh,vhigh,3,4,med,high,Unacceptable
42,vhigh,vhigh,3,4,big,low,Unacceptable
43,vhigh,vhigh,3,4,big,med,Unacceptable
44,vhigh,vhigh,3,4,big,high,Unacceptable
45,vhigh,vhigh,3,more,small,low,Unacceptable
46,vhigh,vhigh,3,more,small,med,Unacceptable
47,vhigh,vhigh,3,more,small,high,Unacceptable
48,vhigh,vhigh,3,more,med,low,Unacceptable
49,vhigh,vhigh,3,more,med,med,Unacceptable
50,vhigh,vhigh,3,more,med,high,Unacceptable
51,vhigh,vhigh,3,more,big,low,Unacceptable
52,vhigh,vhigh,3,more,big,med,Unacceptable
53,vhigh,vhigh,3,more,big,high,Unacceptable
54,vhigh,vhigh,4,2,small,low,Unacceptable
55,vhigh,vhigh,4,2,small,med,Unacceptable
56,vhigh,vhigh,4,2,small,high,Unacceptable
57,vhigh,vhigh,4,2,med,low,Unacceptable
58,vhigh,vhigh,4,2,med,med,Unacceptable
59,vhigh,vhigh,4,2,med,high,Unacceptable
60,vhigh,vhigh,4,2,big,low,Unacceptable
61,vhigh,vhigh,4,2,big,med,Unacceptable
62,vhigh,vhigh,4,2,big,high,Unacceptable
63,vhigh,vhigh,4,4,small,low,Unacceptable
64,vhigh,vhigh,4,4,small,med,Unacceptable
65,vhigh,vhigh,4,4,small,high,Unacceptable
66,vhigh,vhigh,4,4,med,low,Unacceptable
67,vhigh,vhigh,4,4,med,med,Unacceptable
68,vhigh,vhigh,4,4,med,high,Unacceptable
69,vhigh,vhigh,4,4,big,low,Unacceptable
70,vhigh,vhigh,4,4,big,med,Unacceptable
71,vhigh,vhigh,4,4,big,high,Unacceptable
72,vhigh,vhigh,4,more,small,low,Unacceptable
73,vhigh,vhigh,4,more,small,med,Unacceptable
74,vhigh,vhigh,4,more,small,high,Unacceptable
75,vhigh,vhigh,4,more,med,low,Unacceptable
76,vhigh,vhigh,4,more,med,med,Unacceptable
77,vhigh,vhigh,4,more,med,high,Unacceptable
78,vhigh,vhigh,4,more,big,low,Unacceptable
79,vhigh,vhigh,4,more,big,med,Unacceptable
80,vhigh,vhigh,4,more,big,high,Unacceptable
81,vhigh,vhigh,5more,2,small,low,Unacceptable
